"sexo","edad","nivel","cond_act","p3_1","p3_2","p3_5","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p11","p25","p35","year","p12_info","p12_prac","p12_entr"
2,25,4,1,1,2,1,4,2,2,2,1,1,0,4,1,2020,2,2,2
1,20,3,1,2,1,1,0,0,0,0,0,0,3,4,1,2020,1,2,1
2,38,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,27,3,1,1,1,1,2,2,1,2,2,2,4,4,1,2020,2,2,1
1,63,2,1,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
1,28,3,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
2,34,3,1,1,2,1,3,2,2,2,1,2,0,4,1,2020,2,2,2
2,37,4,1,1,1,1,1,2,1,2,2,1,3,3,1,2020,1,2,2
1,45,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,26,2,1,1,2,1,3,2,2,2,1,2,0,4,1,2020,2,2,2
1,23,4,1,1,1,1,4,2,2,2,2,1,4,4,1,2020,1,2,2
2,39,4,1,2,1,1,0,0,0,0,0,0,4,4,1,2020,1,1,2
1,70,2,8,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
1,70,5,8,1,1,2,3,2,2,2,1,1,3,0,1,2020,1,1,2
2,81,2,7,1,1,2,5,2,2,1,2,2,5,0,1,2020,2,2,1
2,39,2,1,2,2,1,0,0,0,0,0,0,0,4,1,2020,2,2,2
2,44,4,7,1,2,2,3,2,2,2,2,1,0,0,1,2020,2,2,2
1,53,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,24,3,1,2,1,2,0,0,0,0,0,0,4,0,1,2020,2,2,1
1,44,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,66,2,8,2,1,2,0,0,0,0,0,0,4,0,1,2020,2,2,1
1,54,2,1,1,1,2,3,2,2,2,1,1,3,0,1,2020,2,2,1
2,50,2,1,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
1,57,4,1,2,1,2,0,0,0,0,0,0,3,0,1,2020,2,1,2
1,40,2,1,1,2,1,5,2,2,1,2,2,0,3,1,2020,2,2,2
2,33,3,7,1,2,1,4,2,2,2,2,1,0,4,1,2020,2,2,2
1,25,4,1,2,1,1,0,0,0,0,0,0,4,4,1,2020,1,1,2
2,84,2,7,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
2,52,4,7,1,2,2,3,2,2,1,2,2,0,0,1,2020,2,2,2
1,19,3,1,1,2,1,2,2,1,2,2,2,0,4,1,2020,2,2,2
1,48,2,1,1,1,2,3,2,2,1,2,2,3,0,1,2020,2,2,1
2,18,3,7,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
1,28,4,1,2,1,1,0,0,0,0,0,0,3,1,1,2020,1,2,2
